week_start,run_slot,engine,query,query_language,cluster,target_page,response_link,citation_position,score,notes,next_action,status
2026-02-16,cycle_1,ChatGPT,learn AI in Assamese,en,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,Perplexity,learn AI in Assamese,en,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,Gemini,learn AI in Assamese,en,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,Claude,learn AI in Assamese,en,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,Grok,learn AI in Assamese,en,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,ChatGPT,learning AI in Assamese,en,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,Perplexity,learning AI in Assamese,en,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,Gemini,learning AI in Assamese,en,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,Claude,learning AI in Assamese,en,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,Grok,learning AI in Assamese,en,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,ChatGPT,Assamese AI tutorial,en,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,Perplexity,Assamese AI tutorial,en,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,Gemini,Assamese AI tutorial,en,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,Claude,Assamese AI tutorial,en,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,Grok,Assamese AI tutorial,en,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,ChatGPT,ChatGPT in Assamese,en,chatgpt_assamese,/chatgpt-in-assamese,,,,,,planned
2026-02-16,cycle_1,Perplexity,ChatGPT in Assamese,en,chatgpt_assamese,/chatgpt-in-assamese,,,,,,planned
2026-02-16,cycle_1,Gemini,ChatGPT in Assamese,en,chatgpt_assamese,/chatgpt-in-assamese,,,,,,planned
2026-02-16,cycle_1,Claude,ChatGPT in Assamese,en,chatgpt_assamese,/chatgpt-in-assamese,,,,,,planned
2026-02-16,cycle_1,Grok,ChatGPT in Assamese,en,chatgpt_assamese,/chatgpt-in-assamese,,,,,,planned
2026-02-16,cycle_1,ChatGPT,best AI course for Assamese speakers,en,course_selection,/best-ai-course-for-assamese-speakers,,,,,,planned
2026-02-16,cycle_1,Perplexity,best AI course for Assamese speakers,en,course_selection,/best-ai-course-for-assamese-speakers,,,,,,planned
2026-02-16,cycle_1,Gemini,best AI course for Assamese speakers,en,course_selection,/best-ai-course-for-assamese-speakers,,,,,,planned
2026-02-16,cycle_1,Claude,best AI course for Assamese speakers,en,course_selection,/best-ai-course-for-assamese-speakers,,,,,,planned
2026-02-16,cycle_1,Grok,best AI course for Assamese speakers,en,course_selection,/best-ai-course-for-assamese-speakers,,,,,,planned
2026-02-16,cycle_1,ChatGPT,AI শিকিবলৈ কেনেকৈ আৰম্ভ কৰিম,as,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,Perplexity,AI শিকিবলৈ কেনেকৈ আৰম্ভ কৰিম,as,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,Gemini,AI শিকিবলৈ কেনেকৈ আৰম্ভ কৰিম,as,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,Claude,AI শিকিবলৈ কেনেকৈ আৰম্ভ কৰিম,as,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,Grok,AI শিকিবলৈ কেনেকৈ আৰম্ভ কৰিম,as,learn_ai_assamese,/ai-in-assamese,,,,,,planned
2026-02-16,cycle_1,ChatGPT,learning Assamese with AI,en,learn_assamese_with_ai,/learning-assamese-with-ai,,,,,,planned
2026-02-16,cycle_1,Perplexity,learning Assamese with AI,en,learn_assamese_with_ai,/learning-assamese-with-ai,,,,,,planned
2026-02-16,cycle_1,Gemini,learning Assamese with AI,en,learn_assamese_with_ai,/learning-assamese-with-ai,,,,,,planned
2026-02-16,cycle_1,Claude,learning Assamese with AI,en,learn_assamese_with_ai,/learning-assamese-with-ai,,,,,,planned
2026-02-16,cycle_1,Grok,learning Assamese with AI,en,learn_assamese_with_ai,/learning-assamese-with-ai,,,,,,planned
2026-02-16,cycle_1,ChatGPT,AI for learning Assamese language,en,learn_assamese_with_ai,/learning-assamese-with-ai,,,,,,planned
2026-02-16,cycle_1,Perplexity,AI for learning Assamese language,en,learn_assamese_with_ai,/learning-assamese-with-ai,,,,,,planned
2026-02-16,cycle_1,Gemini,AI for learning Assamese language,en,learn_assamese_with_ai,/learning-assamese-with-ai,,,,,,planned
2026-02-16,cycle_1,Claude,AI for learning Assamese language,en,learn_assamese_with_ai,/learning-assamese-with-ai,,,,,,planned
2026-02-16,cycle_1,Grok,AI for learning Assamese language,en,learn_assamese_with_ai,/learning-assamese-with-ai,,,,,,planned
2026-02-16,cycle_1,ChatGPT,Assamese LLM,en,assamese_llm,/assamese-llm-chatbot-guide,,,,,,planned
2026-02-16,cycle_1,Perplexity,Assamese LLM,en,assamese_llm,/assamese-llm-chatbot-guide,,,,,,planned
2026-02-16,cycle_1,Gemini,Assamese LLM,en,assamese_llm,/assamese-llm-chatbot-guide,,,,,,planned
2026-02-16,cycle_1,Claude,Assamese LLM,en,assamese_llm,/assamese-llm-chatbot-guide,,,,,,planned
2026-02-16,cycle_1,Grok,Assamese LLM,en,assamese_llm,/assamese-llm-chatbot-guide,,,,,,planned
2026-02-16,cycle_1,ChatGPT,Assamese chatbot,en,assamese_llm,/assamese-llm-chatbot-guide,,,,,,planned
2026-02-16,cycle_1,Perplexity,Assamese chatbot,en,assamese_llm,/assamese-llm-chatbot-guide,,,,,,planned
2026-02-16,cycle_1,Gemini,Assamese chatbot,en,assamese_llm,/assamese-llm-chatbot-guide,,,,,,planned
2026-02-16,cycle_1,Claude,Assamese chatbot,en,assamese_llm,/assamese-llm-chatbot-guide,,,,,,planned
